supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
LOPAC 00228,0.977375,-0.606379,0,0.577258,0.977375,0
LOPAC 00362,0.985957,-0.402686,0,0.60368,0.985957,0
LOPAC 00557,1.02152,0.59315,0,0.555704,1.02152,0
LOPAC 00565,1.02578,0.726066,0,0.546956,1.02578,0
LOPAC 00574,1.0095,0.265286,0,0.793352,1.0095,0
LOPAC 00581,0.9834,-0.476653,0,0.540406,0.9834,0
LOPAC 00592,1.02346,0.636877,0,0.530494,1.02346,0
LOPAC 00662,0.995925,-0.114741,0,0.909082,0.995925,0
LOPAC 00001,1.00698,0.198537,0,0.820022,1.00698,0
LOPAC 00057,1.00487,0.1559,0,0.48671,1.00487,0
LOPAC 00164,1.01769,0.484299,0,0.628176,1.01769,0
LOPAC 00167,1.02079,0.592249,0,0.547948,1.02079,0
LOPAC 00235,0.975415,-0.68323,0,0.514528,0.975415,0
LOPAC 00332,1.00393,0.113881,0,0.849704,1.00393,0
LOPAC 00612,0.967708,-0.903631,0,0.44648,0.967708,0
LOPAC 00644,1.01714,0.459049,0,0.662786,1.01714,0
LOPAC 00023,0.99144,-0.233047,0,0.815894,0.99144,0
LOPAC 00087,1.02953,0.827044,0,0.480072,1.02953,0
LOPAC 00645,1.01668,0.454034,0,0.651152,1.01668,0
LOPAC 00646,0.986658,-0.39561,0,0.384422,0.986658,0
LOPAC 00647,1.01562,0.444705,0,0.631942,1.01562,0
LOPAC 00648,1.0061,0.184312,0,0.595468,1.0061,0
LOPAC 00649,0.954757,-1.26804,0,0.371512,0.954757,0
LOPAC 00663,0.977763,-0.61721,0,0.550134,0.977763,0
LOPAC 00018,1.021,0.571874,0,0.569244,1.021,0
LOPAC 00243,0.942471,-1.63162,0,0.45599,0.942471,0
LOPAC 00324,1.02089,0.58996,0,0.612236,1.02089,0
LOPAC 00621,1.02707,0.753615,0,0.482926,1.02707,0
LOPAC 00650,1.01857,0.521071,0,0.628388,1.01857,0
LOPAC 00651,1.05291,1.44202,0,0.159117,1.05291,0
LOPAC 00664,0.973308,-0.74897,0,0.519866,0.973308,0
LOPAC 01302,0.964519,-0.990392,0,0.398888,0.964519,0
LOPAC 00171,0.986699,-0.397718,0,0.335488,0.986699,0
LOPAC 00568,1.0051,0.144931,0,0.870202,1.0051,0
LOPAC 00598,0.930296,-1.96096,0,0.364904,0.930296,0
LOPAC 00652,1.02303,0.64205,0,0.545452,1.02303,0
LOPAC 00653,1.02136,0.593028,0,0.565484,1.02136,0
LOPAC 00665,1.01402,0.3874,0,0.700086,1.01402,0
LOPAC 00666,1.00285,0.0953614,0,0.593316,1.00285,0
LOPAC 00349,1.01749,0.486501,0,0.635894,1.01749,0
LOPAC 00564,1.02875,0.803865,0,0.480258,1.02875,0
LOPAC 00654,0.963335,-1.04902,0,0.371864,0.963335,0
LOPAC 00655,0.937152,-1.73732,0,0.1205,0.937152,0
LOPAC 00656,1.03468,0.976247,0,0.47574,1.03468,0
LOPAC 00667,0.996259,-0.1019,0,0.918848,0.996259,0
LOPAC 00668,1.00881,0.241652,0,0.80906,1.00881,0
LOPAC 01342,0.987168,-0.346464,0,0.73208,0.987168,0
LOPAC 00326,1.04961,1.39287,0,0.376568,1.04961,0
LOPAC 00409,0.999395,-0.0366168,0,0.533084,0.999395,0
LOPAC 00485,0.997162,-0.0808153,0,0.923914,0.997162,0
LOPAC 00490,0.970381,-0.820725,0,0.43204,0.970381,0
LOPAC 00657,1.01203,0.332602,0,0.74069,1.01203,0
LOPAC 00658,1.02934,0.818234,0,0.459848,1.02934,0
LOPAC 00669,0.946358,-1.50903,0,0.397342,0.946358,0
LOPAC 00670,1.00249,0.0749585,0,0.835432,1.00249,0
LOPAC 00017,0.958241,-1.14115,0,0.255294,0.958241,0
LOPAC 00327,1.00164,0.031615,0,0.678664,1.00164,0
LOPAC 00364,0.964267,-1.00424,0,0.453452,0.964267,0
LOPAC 00659,1.01565,0.437798,0,0.67448,1.01565,0
LOPAC 00660,1.01577,0.439563,0,0.66917,1.01577,0
LOPAC 00661,1.01735,0.492758,0,0.626434,1.01735,0
LOPAC 00671,1.00337,0.094589,0,0.924838,1.00337,0
LOPAC 00672,0.980425,-0.542311,0,0.594482,0.980425,0
LOPAC 00170,0.951337,-1.36247,0,0.341446,0.951337,0
LOPAC 00178,1.04189,1.17265,0,0.37595,1.04189,0
LOPAC 00569,1.01905,0.527585,0,0.603792,1.01905,0
LOPAC 00602,0.99445,-0.156306,0,0.876896,0.99445,0
LOPAC 00673,0.98697,-0.361677,0,0.720608,0.98697,0
LOPAC 00674,1.00466,0.119959,0,0.812788,1.00466,0
LOPAC 01303,1.02082,0.573,0,0.568086,1.02082,0
LOPAC 01318,0.989615,-0.290482,0,0.775346,0.989615,0
LOPAC 00084,0.996406,-0.09843,0,0.92159,0.996406,0
LOPAC 00408,1.04112,1.14313,0,0.316114,1.04112,0
LOPAC 00675,0.956747,-1.21253,0,0.384266,0.956747,0
LOPAC 00676,0.993916,-0.178739,0,0.71077,0.993916,0
LOPAC 00677,1.01245,0.350487,0,0.73728,1.01245,0
LOPAC 00679,1.02064,0.578105,0,0.59361,1.02064,0
LOPAC 00680,0.979783,-0.561864,0,0.586346,0.979783,0
LOPAC 01304,0.98416,-0.444077,0,0.672938,0.98416,0
LOPAC 00083,1.01669,0.463739,0,0.650094,1.01669,0
LOPAC 00165,0.998584,-0.0401266,0,0.96689,0.998584,0
LOPAC 00353,0.971128,-0.812493,0,0.514234,0.971128,0
LOPAC 00439,0.981477,-0.513022,0,0.613566,0.981477,0
LOPAC 00681,1.01954,0.540561,0,0.594204,1.01954,0
LOPAC 00682,0.996792,-0.0786585,0,0.775468,0.996792,0
LOPAC 00683,1.0048,0.134525,0,0.893434,1.0048,0
LOPAC 00684,0.995287,-0.138978,0,0.760614,0.995287,0
LOPAC 00082,1.00519,0.117585,0,0.446016,1.00519,0
LOPAC 00166,0.881767,-3.25009,0,0.00214526,0.881767,0
LOPAC 00484,1.00822,0.223623,0,0.823226,1.00822,0
LOPAC 00566,1.01012,0.277107,0,0.781698,1.01012,0
LOPAC 00685,0.967415,-0.921401,0,0.526058,0.967415,0
LOPAC 00686,1.0114,0.298664,0,0.68728,1.0114,0
LOPAC 00687,0.990891,-0.244902,0,0.808438,0.990891,0
LOPAC 00688,1.00442,0.134992,0,0.669088,1.00442,0
LOPAC 00011,0.996839,-0.0746908,0,0.712158,0.996839,0
LOPAC 00053,0.992965,-0.169858,0,0.484286,0.992965,0
LOPAC 00325,1.01559,0.419117,0,0.684388,1.01559,0
LOPAC 00689,0.968361,-0.888043,0,0.473096,0.968361,0
LOPAC 00690,1.0243,0.670756,0,0.508292,1.0243,0
LOPAC 00691,0.976577,-0.629979,0,0.554416,0.976577,0
LOPAC 00692,1.02438,0.670584,0,0.50404,1.02438,0
LOPAC 00693,0.966048,-0.925657,0,0.358732,0.966048,0
LOPAC 00130,1.03255,0.890686,0,0.373208,1.03255,0
LOPAC 00328,1.03304,0.906167,0,0.36522,1.03304,0
LOPAC 00567,1.02679,0.750485,0,0.510782,1.02679,0
LOPAC 00694,0.973532,-0.768313,0,0.297462,0.973532,0
LOPAC 00695,0.967504,-0.888842,0,0.374396,0.967504,0
LOPAC 00696,1.00362,0.0936968,0,0.865062,1.00362,0
LOPAC 00697,0.972187,-0.765273,0,0.446842,0.972187,0
LOPAC 00698,0.992068,-0.218965,0,0.826926,0.992068,0
LOPAC 00002,1.00389,0.131281,0,0.44378,1.00389,0
LOPAC 00009,0.991227,-0.226491,0,0.675996,0.991227,0
LOPAC 00015,0.995488,-0.135913,0,0.70371,0.995488,0
LOPAC 00060,1.02535,0.681329,0,0.529128,1.02535,0
LOPAC 00101,0.981784,-0.507173,0,0.62366,0.981784,0
LOPAC 00334,1.03713,1.0254,0,0.321334,1.03713,0
LOPAC 00412,0.977416,-0.646434,0,0.477442,0.977416,0
LOPAC 00699,1.01069,0.27739,0,0.646232,1.01069,0
LOPAC 00016,0.968477,-0.885152,0,0.476978,0.968477,0
LOPAC 00019,0.997673,-0.0516678,0,0.707778,0.997673,0
LOPAC 00126,1.03596,1.00381,0,0.394476,1.03596,0
LOPAC 00152,1.01505,0.407531,0,0.686834,1.01505,0
LOPAC 00168,0.987747,-0.32613,0,0.75475,0.987747,0
LOPAC 00169,0.992158,-0.208414,0,0.838072,0.992158,0
LOPAC 00486,1.00664,0.18765,0,0.85354,1.00664,0
LOPAC 00020,0.970901,-0.819265,0,0.515252,0.970901,0
LOPAC 00330,1.01043,0.280472,0,0.7818,1.01043,0
LOPAC 00333,0.995228,-0.145138,0,0.656828,0.995228,0
LOPAC 00406,0.992163,-0.205754,0,0.786974,0.992163,0
LOPAC 00487,1.00033,0.0129547,0,0.901086,1.00033,0
LOPAC 00701,1.00468,0.115642,0,0.698058,1.00468,0
LOPAC 01325,1.01368,0.385744,0,0.716322,1.01368,0
LOPAC 00021,1.01911,0.523454,0,0.600662,1.01911,0
LOPAC 00022,0.991737,-0.221224,0,0.827052,0.991737,0
LOPAC 00054,1.01038,0.282073,0,0.77836,1.01038,0
LOPAC 00244,1.01213,0.330073,0,0.74183,1.01213,0
LOPAC 00489,0.974974,-0.703991,0,0.549898,0.974974,0
LOPAC 00572,1.00264,0.070573,0,0.943828,1.00264,0
LOPAC 01326,0.998598,-0.0347451,0,0.909288,0.998598,0
LOPAC 01327,1.00257,0.0683246,0,0.945628,1.00257,0
LOPAC 00085,0.998528,-0.0380279,0,0.943046,0.998528,0
LOPAC 00245,0.912469,-2.35246,0,0.169001,0.912469,0
LOPAC 00329,0.996145,-0.0957341,0,0.760608,0.996145,0
LOPAC 00337,0.974306,-0.717133,0,0.510574,0.974306,0
LOPAC 00338,0.999381,-0.0188795,0,0.952088,0.999381,0
LOPAC 00339,1.00747,0.198705,0,0.845166,1.00747,0
LOPAC 00702,1.01194,0.322389,0,0.749712,1.01194,0
LOPAC 00703,1.01224,0.334244,0,0.738292,1.01224,0
LOPAC 00177,0.96389,-0.997371,0,0.334886,0.96389,0
LOPAC 00416,1.02401,0.656134,0,0.512104,1.02401,0
LOPAC 00576,1.00435,0.125515,0,0.844576,1.00435,0
LOPAC 00704,0.974979,-0.660335,0,0.529766,0.974979,0
LOPAC 00705,1.00267,0.0709042,0,0.943608,1.00267,0
LOPAC 00706,1.00254,0.06351,0,0.85115,1.00254,0
LOPAC 00708,0.921182,-2.14732,0,0.042555,0.921182,0
LOPAC 00247,0.967374,-0.873648,0,0.467294,0.967374,0
LOPAC 00709,0.960017,-1.10401,0,0.287972,0.960017,0
LOPAC 00710,1.01259,0.353611,0,0.733202,1.01259,0
