supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00215,0.920635,-3.63838,0,0.0096647,0.920635,16.58
AW 00436,0.926387,-3.39798,0,0.000872458,0.926387,15.57
AW 00625,0.0559605,-43.6631,0,0,0.0559605,99.84
AW 00698,1.01709,0.792495,0,0.430814,1.01709,5.89
AW 00801,0.979768,-0.931797,0,0.356776,0.979768,9.12
AW 00819,1.02477,1.15164,0,0.267208,1.02477,4.28
AW 00844,0.952661,-2.18181,0,0.0355016,0.952661,11
AW 00891,0.989446,-0.486749,0,0.626846,0.989446,6.96
AW 00925,1.00046,0.0305205,0,0.686922,1.00046,5.48
AW 00962,1.01895,0.880716,0,0.388222,1.01895,3.24
AW 01018,1.02044,0.949258,0,0.350276,1.02044,2.71
AW 01055,1.00722,0.331468,0,0.741568,1.00722,3.67
AW 01109,1.01466,0.67913,0,0.49769,1.01466,2.58
AW 01159,1.01227,0.563759,0,0.577434,1.01227,2.59
AW 01219,0.985571,-0.666896,0,0.504842,0.985571,5.11
AW 01274,0.968795,-1.43499,0,0.172364,0.968795,6.66
BR 00009,0.96178,-1.76409,0,0.0796982,0.96178,7.25
BTB 00027,0.999771,-0.0162067,0,0.810762,0.999771,3.28
BTB 00084,1.01902,0.881778,0,0.380452,1.01902,1.23
BTB 00241,0.985556,-0.667124,0,0.504826,0.985556,4.58
BTB 00333,0.999146,-0.0387817,0,0.969078,0.999146,3.13
BTB 00374,1.00736,0.338955,0,0.734928,1.00736,2.23
BTB 00441,0.982882,-0.79041,0,0.429618,0.982882,4.68
BTB 00496,0.982341,-0.818696,0,0.4154,0.982341,4.69
BTB 00554,0.9946,-0.25067,0,0.802268,0.9946,3.38
BTB 00596,0.807121,-8.92622,0,9.6275e-18,0.807121,22.55
BTB 00667,1.01583,0.735091,0,0.466604,1.01583,1.09
BTB 00694,0.828763,-7.87706,0,2.43834e-10,0.828763,20.22
BTB 00730,1.01136,0.527545,0,0.600084,1.01136,1.46
BTB 00778,1.02033,0.942716,0,0.349684,1.02033,0.53
BTB 00828,0.975384,-1.14533,0,0.275512,0.975384,5.15
BTB 00881,0.989165,-0.505266,0,0.61959,0.989165,3.76
BTB 00992,0.985287,-0.681287,0,0.496214,0.985287,4.19
BTB 01022,0.914448,-3.97612,0,0.00108779,0.914448,11.49
BTB 01036,1.01487,0.691648,0,0.496034,1.01487,1.23
BTB 01061,1.00595,0.277224,0,0.782466,1.00595,2.19
BTB 01088,1.01017,0.475842,0,0.6448,1.01017,1.81
BTB 01148,1.02254,1.03637,0,0.314596,1.02254,0.6
BTB 01177,0.975692,-1.11874,0,0.27378,0.975692,5.47
BTB 01196,0.97722,-1.0532,0,0.29226,0.97722,5.4
BTB 01235,0.971437,-1.32805,0,0.207486,0.971437,6.08
BTB 01260,0.716304,-13.1464,0,2.4698e-32,0.716304,32.21
BTB 01296,1.01833,0.853444,0,0.40908,1.01833,1.53
BTB 01349,1.00929,0.427759,0,0.669578,1.00929,2.58
BTB 01396,1.01305,0.611234,0,0.564074,1.01305,2.34
BTB 01410,1.02189,1.01102,0,0.312394,1.02189,1.6
BTB 01444,0.985011,-0.689179,0,0.49609,0.985011,5.53
BTB 01514,0.976971,-1.07478,0,0.32714,0.976971,6.53
BTB 01585,0.969683,-1.39857,0,0.165129,0.969683,7.49
BTB 01706,0.990646,-0.437125,0,0.668346,0.990646,5.63
BTB 01787,1.02228,1.04022,0,0.343294,1.02228,2.75
BTB 01869,0.982733,-0.796503,0,0.426952,0.982733,7.03
BTB 01909,1.01427,0.665059,0,0.516944,1.01427,4.21
BTB 01965,1.0296,1.36938,0,0.17118,1.0296,3.01
BTB 02003,1.00048,0.0369158,0,0.524196,1.00048,6.24
BTB 02050,0.982448,-0.841904,0,0.338194,0.982448,8.3
BTB 02082,0.940275,-2.7496,0,0.0123213,0.940275,12.77
BTB 02134,0.970678,-1.34813,0,0.19868,0.970678,10.06
BTB 02164,0.0540358,-43.7524,0,0,0.0540358,100
BTB 02191,0.991642,-0.376424,0,0.692844,0.991642,8.6
BTB 02242,0.944534,-2.53994,0,0.0657094,0.944534,13.5
BTB 02289,0.995338,-0.236598,0,0.380812,0.995338,8.85
BTB 02335,1.0266,1.2228,0,0.240888,1.0266,6.14
BTB 02361,1.01134,0.531662,0,0.614162,1.01134,7.88
BTB 02389,0.964238,-1.63831,0,0.169319,0.964238,12.63
BTB 02411,0.961281,-1.81594,0,0.243038,0.961281,13.03
BTB 02461,1.00168,0.0952004,0,0.459424,1.00168,9.29
BTB 02498,0.989501,-0.484613,0,0.62811,0.989501,10.51
BTB 02544,1.00883,0.423411,0,0.54569,1.00883,8.64
BTB 02581,0.999358,-0.0426454,0,0.580248,0.999358,9.51
BTB 02635,0.971975,-1.30147,0,0.207464,0.971975,12.13
BTB 02660,0.956728,-2.0032,0,0.046769,0.956728,13.6
BTB 02678,0.929434,-3.26515,0,0.00120441,0.929434,16.22
BTB 02719,1.0234,1.07811,0,0.287048,1.0234,7.21
BTB 02761,1.01218,0.58147,0,0.507454,1.01218,8.29
BTB 02768,0.960947,-1.80389,0,0.07176,0.960947,13.18
BTB 02848,1.03606,1.69224,0,0.27391,1.03606,5.98
BTB 02874,1.0036,0.158896,0,0.758186,1.0036,9.04
BTB 02933,0.707543,-13.5143,0,1.2726e-40,0.707543,37.42
BTB 03010,0.95845,-1.93494,0,0.0975392,0.95845,13.29
BTB 03055,0.971744,-1.30347,0,0.195447,0.971744,8.15
BTB 03059,1.01792,0.83038,0,0.407702,1.01792,3.42
BTB 03107,1.01527,0.711905,0,0.490162,1.01527,3.57
BTB 03148,0.973221,-1.23811,0,0.21569,0.973221,7.68
BTB 03234,1.01373,0.634667,0,0.525646,1.01373,3.5
BTB 03320,0.963301,-1.70266,0,0.0997656,0.963301,8.46
BTB 03415,1.00794,0.357997,0,0.714848,1.00794,3.84
BTB 03438,0.989238,-0.499912,0,0.619014,0.989238,5.61
BTB 03489,0.99207,-0.357345,0,0.711188,0.99207,5.21
BTB 03563,0.982277,-0.819193,0,0.41268,0.982277,6.08
BTB 03586,0.981431,-0.85783,0,0.391112,0.981431,6.06
BTB 03653,1.0154,0.710043,0,0.478904,1.0154,2.5
BTB 03699,0.997693,-0.100793,0,0.803488,0.997693,4.19
BTB 03791,0.377118,-28.8391,0,0,0.377118,67.14
BTB 03853,0.996127,-0.183366,0,0.855296,0.996127,4.08
BTB 03920,0.990754,-0.43239,0,0.67253,0.990754,4.52
BTB 04022,0.988324,-0.531268,0,0.618734,0.988324,4.67
BTB 04071,1.00465,0.205797,0,0.7026,1.00465,2.9
BTB 04115,1.01366,0.632801,0,0.527626,1.01366,1.88
BTB 04181,0.927688,-3.33865,0,0.00100031,0.927688,10.58
BTB 04212,1.01049,0.485591,0,0.627354,1.01049,2.02
BTB 04281,1.01461,0.679227,0,0.502708,1.01461,1.54
BTB 04346,0.986161,-0.634929,0,0.53417,0.986161,4.42
BTB 04417,0.998584,-0.0643753,0,0.948724,0.998584,3.12
BTB 04487,0.956774,-2.00282,0,0.0494202,0.956774,7.39
BTB 04536,1.01026,0.476191,0,0.63532,1.01026,1.89
BTB 04603,0.967047,-1.51555,0,0.150488,0.967047,6.33
BTB 04647,1.01005,0.458947,0,0.6556,1.01005,1.94
BTB 04665,1.01673,0.781479,0,0.460438,1.01673,1.31
BTB 04688,1.01325,0.615347,0,0.541382,1.01325,1.74
BTB 04722,0.977396,-1.04434,0,0.29648,0.977396,5.5
BTB 04785,0.961958,-1.74637,0,0.122117,0.961958,7.19
BTB 04832,0.998743,-0.0600388,0,0.93493,0.998743,3.54
BTB 04862,1.00033,-0.00210199,0,0.456992,1.00033,3.49
BTB 04891,0.993097,-0.311911,0,0.766076,0.993097,4.36
BTB 04938,1.03144,1.452,0,0.147192,1.03144,0.57
BTB 04978,1.03228,1.50354,0,0.1785,1.03228,0.61
BTB 05020,0.972197,-1.28582,0,0.198645,0.972197,6.83
BTB 05047,0.961498,-1.77918,0,0.075329,0.961498,8.02
BTB 05098,0.858496,-6.54928,0,2.69108e-10,0.858496,18.55
BTB 05123,0.98342,-0.768,0,0.443496,0.98342,5.99
BTB 05165,0.995884,-0.185121,0,0.829538,0.995884,4.82
BTB 05191,0.992662,-0.342398,0,0.734426,0.992662,5.23
BTB 05197,1.00907,0.425783,0,0.681564,1.00907,3.66
BTB 05231,0.972291,-1.27429,0,0.220444,0.972291,7.43
BTB 05265,1.00536,0.233196,0,0.539988,1.00536,4.13
BTB 05284,0.991763,-0.386021,0,0.706584,0.991763,5.55
BTB 05318,1.00412,0.196222,0,0.811034,1.00412,4.36
BTB 05356,0.810627,-8.76337,0,2.89824e-17,0.810627,23.92
BTB 05417,0.0547729,-43.7196,0,0,0.0547729,100
BTB 05472,1.0232,1.07322,0,0.283444,1.0232,2.87
BTB 05499,0.959315,-1.87883,0,0.0611382,0.959315,9.49
BTB 05574,1.01641,0.765264,0,0.462956,1.01641,4.04
BTB 05608,1.0411,1.90484,0,0.062396,1.0411,1.86
BTB 05674,1.00396,0.193097,0,0.67628,1.00396,5.84
BTB 05733,1.01849,0.85277,0,0.395106,1.01849,4.69
BTB 05771,0.981403,-0.850905,0,0.427126,0.981403,8.66
BTB 05809,0.973114,-1.24147,0,0.21524,0.973114,9.76
BTB 05841,0.992253,-0.356634,0,0.721904,0.992253,8.15
BTB 05846,0.961605,-1.77651,0,0.0763502,0.961605,11.42
BTB 05865,0.978745,-0.991141,0,0.353438,0.978745,10
BTB 05890,1.00711,0.323347,0,0.753016,1.00711,7.49
BTB 05936,0.990933,-0.430278,0,0.663732,0.990933,9.28
BTB 05966,0.980555,-0.911431,0,0.427422,0.980555,10.47
BTB 06030,0.976964,-1.05952,0,0.30199,0.976964,10.99
BTB 06046,0.985087,-0.693491,0,0.494638,0.985087,10.3
BTB 06083,0.978972,-0.967861,0,0.34081,0.978972,10.96
BTB 06131,1.01793,0.849362,0,0.531964,1.01793,7.21
BTB 06169,0.817042,-8.47315,0,2.87762e-15,0.817042,26.5
BTB 06230,0.999357,-0.0165112,0,0.572908,0.999357,8.76
BTB 06262,0.962266,-1.76297,0,0.172244,0.962266,12.19
BTB 06291,0.95306,-2.1805,0,0.046207,0.95306,12.95
BTB 06365,0.993578,-0.293818,0,0.770772,0.993578,8.88
BTB 06385,1.01668,0.782587,0,0.486288,1.01668,6.49
BTB 06409,0.953795,-2.1456,0,0.0468788,0.953795,12.46
BTB 06435,0.958207,-1.93311,0,0.0535056,0.958207,11.9
BTB 06471,1.00126,0.0574282,0,0.954244,1.00126,7.55
BTB 06524,1.00389,0.162946,0,0.482616,1.00389,7.12
BTB 06547,1.00803,0.377206,0,0.714854,1.00803,6.58
BTB 06587,0.0574212,-43.5961,0,0,0.0574212,99.86
BTB 06714,0.982718,-0.770935,0,0.360544,0.982718,13.96
BTB 06752,0.961122,-1.79029,0,0.0860042,0.961122,16.78
BTB 06795,1.0041,0.181838,0,0.743868,1.0041,10.42
BTB 06849,1.02063,0.967646,0,0.414536,1.02063,7.99
BTB 06909,1.03294,1.49085,0,0.451434,1.03294,5.81
BTB 06939,1.03809,1.74585,0,0.142226,1.03809,4.95
BTB 06989,0.989598,-0.498503,0,0.50423,0.989598,11.66
BTB 07042,0.954491,-2.10371,0,0.0354034,0.954491,16.56
BTB 07096,0.995363,-0.203965,0,0.663884,0.995363,10.49
BTB 07130,1.00022,0.0100537,0,0.99141,1.00022,9.48
BTB 07162,0.954213,-2.13378,0,0.0828298,0.954213,15.76
BTB 07186,1.00453,0.185242,0,0.306994,1.00453,8.21
BTB 07221,0.853367,-6.81117,0,3.1386e-08,0.853367,29.86
BTB 07289,0.919681,-3.74131,0,0.00573212,0.919681,19.98
BTB 07318,0.976637,-1.08589,0,0.292492,0.976637,11.54
BTB 07356,0.964272,-1.64348,0,0.120726,0.964272,13.07
BTB 07490,0.98635,-0.602778,0,0.308584,0.98635,9.56
BTB 07522,1.01113,0.510475,0,0.61496,1.01113,5.28
BTB 07683,1.01642,0.75044,0,0.483686,1.01642,3.97
BTB 07819,1.02988,1.37424,0,0.189422,1.02988,1.47
BTB 07871,1.00646,0.291105,0,0.756398,1.00646,4.42
BTB 07953,1.01536,0.708066,0,0.480368,1.01536,2.67
BTB 08065,0.978266,-1.0105,0,0.326912,0.978266,7.78
BTB 08155,0.969055,-1.42954,0,0.153171,0.969055,8.91
BTB 08182,1.00304,0.146522,0,0.806284,1.00304,3.64
BTB 08213,0.990381,-0.440274,0,0.66524,0.990381,5.36
BTB 08260,1.02302,1.0574,0,0.309866,1.02302,0.27
BTB 08300,1.00197,0.0749262,0,0.497874,1.00197,3.3
BTB 08391,0.988428,-0.537547,0,0.5932,0.988428,5.41
BTB 08461,1.00946,0.440293,0,0.662418,1.00946,2.34
BTB 08530,0.870617,-6.00259,0,1.88312e-07,0.870617,23.08
BTB 08580,0.916708,-3.85323,0,0.000130553,0.916708,16.38
BTB 08631,0.991144,-0.403309,0,0.696638,0.991144,5.39
BTB 08690,1.0019,0.0893855,0,0.928928,1.0019,3.85
BTB 08791,1.01855,0.861067,0,0.39427,1.01855,1.46
BTB 08831,1.01241,0.573714,0,0.566162,1.01241,2.47
BTB 08903,1.0031,0.140321,0,0.889418,1.0031,3.98
BTB 08940,1.01134,0.525441,0,0.599858,1.01134,2.94
BTB 09043,0.963141,-1.71387,0,0.115103,0.963141,10.23
BTB 09126,0.965523,-1.58122,0,0.165093,0.965523,10.21
BTB 09186,0.957141,-1.97447,0,0.0577936,0.957141,11.64
BTB 09260,1.00513,0.241767,0,0.812316,1.00513,4.75
BTB 09301,1.0293,1.34729,0,0.197022,1.0293,1.37
BTB 09317,1.01728,0.788697,0,0.471562,1.01728,3.4
BTB 09341,0.994562,-0.251807,0,0.801222,0.994562,7.1
BTB 09413,1.02101,0.969442,0,0.333686,1.02101,3.5
BTB 09538,0.960389,-1.84577,0,0.118227,0.960389,12.63
BTB 09574,0.930935,-3.18957,0,0.00156244,0.930935,17.38
BTB 09643,0.980103,-0.927467,0,0.379196,0.980103,10.47
BTB 09705,1.01832,0.84504,0,0.399842,1.01832,5.33
BTB 09791,1.0375,1.73378,0,0.0829686,1.0375,2.97
BTB 09826,0.985286,-0.68544,0,0.503844,0.985286,10.91
BTB 09891,1.01146,0.539571,0,0.620488,1.01146,7.58
BTB 09936,1.00414,0.181418,0,0.676262,1.00414,8.85
BTB 10004,0.966795,-1.48975,0,0.329782,0.966795,14.85
BTB 10040,0.97035,-1.34313,0,0.438978,0.97035,14.48
BTB 10067,0.959527,-1.87735,0,0.0701626,0.959527,16.06
BTB 10106,1.00847,0.380462,0,0.661326,1.00847,9.27
BTB 10145,0.926046,-3.43669,0,0.00383952,0.926046,21.25
BTB 10185,0.99079,-0.426959,0,0.66981,0.99079,12.39
BTB 10205,1.00278,0.114249,0,0.548,1.00278,10.9
BTB 10247,1.02961,1.3728,0,0.176075,1.02961,7.5
BTB 10314,0.907936,-4.18327,0,0.139679,0.907936,25.44
BTB 10407,1.01071,0.487468,0,0.642852,1.01071,10.55
BTB 10447,0.974472,-1.18598,0,0.250304,0.974472,15.83
BTB 10542,0.91344,-4.02326,0,0.00100079,0.91344,24.44
BTB 10591,0.999119,-0.0451666,0,0.849688,0.999119,12.51
BTB 10716,0.99451,-0.283564,0,0.220954,0.99451,13.08
BTB 10830,1.01353,0.618922,0,0.550674,1.01353,10.67
BTB 11052,0.999499,-0.015458,0,0.74212,0.999499,12.95
BTB 11188,0.954774,-2.08401,0,0.0449156,0.954774,19.48
BTB 11565,0.939652,-2.78605,0,0.00590494,0.939652,21.84
BTB 11842,0.989272,-0.481556,0,0.584228,0.989272,15.22
BTB 12150,1.01559,0.734772,0,0.53919,1.01559,11.82
BTB 12322,0.382201,-28.6131,0,0,0.382201,100
BTB 12345,1.01225,0.56209,0,0.58016,1.01225,12.71
BTB 12461,1.03367,1.53528,0,0.274258,1.03367,9.9
BTB 12648,1.01456,0.681199,0,0.522114,1.01456,12.99
BTB 12784,0.961423,-1.79813,0,0.129739,0.961423,20.46
BTB 12840,0.932114,-3.14724,0,0.00309716,0.932114,24.79
BTB 12954,0.979836,-0.922196,0,0.398222,0.979836,6.87
BTB 12991,0.990171,-0.444688,0,0.68287,0.990171,5.67
BTB 13004,1.00338,0.163663,0,0.750948,1.00338,4.17
BTB 13014,1.00518,0.219995,0,0.41472,1.00518,3.89
BTB 13026,1.01128,0.515839,0,0.61584,1.01128,3.15
BTB 13411,0.987142,-0.600796,0,0.562818,0.987142,5.67
BTB 13464,0.988732,-0.520117,0,0.603184,0.988732,5.42
BTB 13546,0.999473,-0.021036,0,0.887326,0.999473,4.16
BTB 13663,0.956952,-1.97902,0,0.0726464,0.956952,8.7
BTB 13761,0.972478,-1.26728,0,0.215334,0.972478,6.92
BTB 13826,1.01348,0.621344,0,0.535318,1.01348,2.37
BTB 13839,1.01196,0.549913,0,0.584968,1.01196,2.46
BTB 14474,1.01949,0.894399,0,0.389038,1.01949,1.56
BTB 14558,0.986736,-0.614416,0,0.53954,0.986736,5.03
BTB 14582,0.9688,-1.45815,0,0.23371,0.9688,6.88
BTB 14604,0.96071,-1.82799,0,0.102101,0.96071,7.67
BTB 14792,0.969432,-1.40642,0,0.176366,0.969432,6.63
BTB 14947,1.00471,0.213923,0,0.832854,1.00471,2.66
BTB 15113,1.01287,0.602055,0,0.566144,1.01287,1.66
BTBG 00017,0.99607,-0.174911,0,0.775824,0.99607,3.4
BTBG 00037,1.01328,0.618192,0,0.542656,1.01328,1.4
BTBG 00061,0.992098,-0.367616,0,0.714516,0.992098,3.63
BTBG 00114,0.991587,-0.388505,0,0.697682,0.991587,3.59
BTBS 00035,0.993251,-0.311462,0,0.755506,0.993251,3.32
BW 00083,0.970865,-1.3492,0,0.179471,0.970865,5.7
CD 00230,0.995658,-0.206709,0,0.80144,0.995658,2.92
CD 00508,1.00489,0.235965,0,0.675506,1.00489,1.9
CD 00622,0.991431,-0.391931,0,0.69975,0.991431,3.4
CD 00738,1.01231,0.561752,0,0.593038,1.01231,1.13
CD 00977,1.01792,0.828573,0,0.407348,1.01792,0.59
CD 01085,0.987081,-0.611088,0,0.607058,0.987081,4.05
CD 01404,0.986751,-0.6055,0,0.56224,0.986751,4.18
CD 01523,0.994909,-0.232585,0,0.817338,0.994909,3.36
CD 01702,0.978467,-0.998978,0,0.323486,0.978467,5.25
CD 01774,1.00603,0.290563,0,0.634094,1.00603,2.34
CD 01869,1.00214,0.10249,0,0.873346,1.00214,2.88
CD 01986,0.792208,-9.60459,0,8.309e-22,0.792208,25.98
CD 02053,1.02994,1.37927,0,0.176822,1.02994,0.1
CD 02162,0.943462,-2.61769,0,0.00991128,0.943462,9.68
CD 02345,0.983881,-0.736139,0,0.493648,0.983881,5.39
CD 02460,0.984441,-0.708875,0,0.519836,0.984441,5.42
CD 02574,0.987123,-0.583233,0,0.608722,0.987123,5.2
CD 02784,1.02472,1.14222,0,0.253406,1.02472,1.16
CD 02862,0.993269,-0.327487,0,0.508678,0.993269,4.64
CD 02948,0.730018,-12.5293,0,7.72694e-26,0.730018,33.28
CD 03004,0.986128,-0.643619,0,0.521926,0.986128,5.62
CD 03187,0.116451,-40.8783,0,0,0.116451,100
CD 03281,0.779662,-10.2526,0,7.53586e-14,0.779662,28.09
CD 03417,0.983455,-0.777396,0,0.499262,0.983455,6.23
CD 03656,1.02654,1.23055,0,0.223932,1.02654,1.73
CD 03831,1.02925,1.35243,0,0.176247,1.02925,1.55
CD 04055,0.985994,-0.657867,0,0.550596,0.985994,6.31
CD 04233,0.988779,-0.514748,0,0.611812,0.988779,6.18
CD 04305,1.00326,0.162503,0,0.623436,1.00326,4.77
CD 04503,0.976458,-1.07215,0,0.389968,0.976458,7.82
CD 04573,0.985105,-0.703189,0,0.56105,0.985105,6.97
CD 04652,0.97799,-1.01355,0,0.317514,0.97799,7.98
CD 04828,0.996031,-0.176869,0,0.78092,0.996031,6.26
CD 05034,1.00007,0.0181035,0,0.527548,1.00007,6.09
CD 05285,1.0075,0.346359,0,0.729124,1.0075,5.48
CD 05439,0.99683,-0.163345,0,0.479086,0.99683,6.78
CD 05508,1.00641,0.290526,0,0.777984,1.00641,6.01
CD 05669,0.921951,-3.60985,0,0.00032024,0.921951,15.15
CD 06185,0.993057,-0.33796,0,0.49188,0.993057,7.72
CD 06290,0.985416,-0.669428,0,0.511986,0.985416,8.75
CD 06514,0.977539,-1.03055,0,0.328736,0.977539,9.7
CD 06700,1.00102,0.0239604,0,0.324702,1.00102,7.21
CD 06876,1.00426,0.212618,0,0.510266,1.00426,7.12
CD 07402,0.969426,-1.41627,0,0.159899,0.969426,10.76
CD 07550,0.980257,-0.90437,0,0.39511,0.980257,9.75
CD 07694,0.992773,-0.334383,0,0.738112,0.992773,8.51
CD 07894,0.939952,-2.76929,0,0.0075511,0.939952,14.18
CD 08003,0.992467,-0.331059,0,0.48721,0.992467,8.82
CD 08091,1.00175,0.0929584,0,0.601174,1.00175,7.93
CD 08226,1.00372,0.176895,0,0.839636,1.00372,7.79
CD 08357,1.01713,0.794797,0,0.43006,1.01713,6.47
CD 08535,1.01506,0.690753,0,0.502178,1.01506,6.73
CD 08646,1.00227,0.0998536,0,0.824672,1.00227,8.15
