supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
LOPAC 00228,1.00448,0.338422,0,0.739636,1.00448,0
LOPAC 00362,0.990209,-0.716819,0,0.474584,0.990209,0
LOPAC 00557,0.998116,-0.150324,0,0.844618,0.998116,0
LOPAC 00565,1.00036,0.0315433,0,0.940214,1.00036,0
LOPAC 00574,0.996696,-0.231486,0,0.818498,0.996696,0
LOPAC 00581,0.991073,-0.687691,0,0.55833,0.991073,0
LOPAC 00592,1.00063,0.064765,0,0.775808,1.00063,0
LOPAC 00662,1.00733,0.530025,0,0.596404,1.00733,0
LOPAC 00001,1.00497,0.357618,0,0.721068,1.00497,0
LOPAC 00057,1.00462,0.332599,0,0.739758,1.00462,0
LOPAC 00164,1.00854,0.623463,0,0.533242,1.00854,0
LOPAC 00167,1.00104,0.0725983,0,0.942192,1.00104,0
LOPAC 00235,0.997302,-0.21361,0,0.799304,0.997302,0
LOPAC 00332,1.00288,0.238586,0,0.670252,1.00288,0
LOPAC 00612,0.989096,-0.820721,0,0.450496,0.989096,0
LOPAC 00644,0.990899,-0.659747,0,0.509636,0.990899,0
LOPAC 00023,1.00111,0.0873308,0,0.92491,1.00111,0
LOPAC 00087,1.00135,0.0716536,0,0.69312,1.00135,0
LOPAC 00645,1.00021,-0.0214031,0,0.583244,1.00021,0
LOPAC 00646,1.00374,0.262965,0,0.79428,1.00374,0
LOPAC 00647,1.00075,0.0579373,0,0.953866,1.00075,0
LOPAC 00648,0.997617,-0.177272,0,0.859538,0.997617,0
LOPAC 00649,0.992921,-0.511517,0,0.609424,0.992921,0
LOPAC 00663,0.995962,-0.2617,0,0.64418,0.995962,0
LOPAC 00018,1.00295,0.219414,0,0.826732,1.00295,0
LOPAC 00243,0.991485,-0.600694,0,0.563232,0.991485,0
LOPAC 00324,0.999799,-0.000881595,0,0.837546,0.999799,0
LOPAC 00621,1.00494,0.332291,0,0.704972,1.00494,0
LOPAC 00650,1.00614,0.440146,0,0.661396,1.00614,0
LOPAC 00651,0.979734,-1.50598,0,0.17581,0.979734,0
LOPAC 00664,1.00247,0.160891,0,0.784484,1.00247,0
LOPAC 01302,0.994684,-0.350609,0,0.613038,0.994684,0
LOPAC 00171,1.00385,0.278411,0,0.780754,1.00385,0
LOPAC 00568,1.00153,0.102592,0,0.896442,1.00153,0
LOPAC 00598,0.985653,-1.04506,0,0.296146,0.985653,0
LOPAC 00652,0.998743,-0.0982278,0,0.919762,0.998743,0
LOPAC 00653,0.999586,-0.0158129,0,0.83121,0.999586,0
LOPAC 00665,0.990601,-0.73439,0,0.557994,0.990601,0
LOPAC 00666,1.00883,0.660886,0,0.525322,1.00883,0
LOPAC 00349,1.00453,0.307018,0,0.749274,1.00453,0
LOPAC 00564,1.00322,0.233421,0,0.815446,1.00322,0
LOPAC 00654,0.989227,-0.814672,0,0.463716,0.989227,0
LOPAC 00655,1.00341,0.245635,0,0.806118,1.00341,0
LOPAC 00656,1.00045,0.0893668,0,0.398318,1.00045,0
LOPAC 00667,0.997922,-0.155764,0,0.876508,0.997922,0
LOPAC 00668,1.00657,0.486756,0,0.629456,1.00657,0
LOPAC 01342,0.611446,-28.4,0,0,0.611446,0
LOPAC 00326,0.997582,-0.162585,0,0.84515,0.997582,0
LOPAC 00409,1.00004,0.0109749,0,0.902416,1.00004,0
LOPAC 00485,1.00174,0.105454,0,0.757322,1.00174,0
LOPAC 00490,0.997001,-0.209539,0,0.835356,0.997001,0
LOPAC 00657,1.00283,0.185667,0,0.763318,1.00283,0
LOPAC 00658,0.99977,-0.0082287,0,0.899034,0.99977,0
LOPAC 00669,0.985084,-1.098,0,0.281492,0.985084,0
LOPAC 00670,1.00071,0.0435237,0,0.903012,1.00071,0
LOPAC 00017,0.999429,-0.0818148,0,0.548908,0.999429,0
LOPAC 00327,1.00334,0.249822,0,0.803852,1.00334,0
LOPAC 00364,0.992008,-0.611855,0,0.581048,0.992008,0
LOPAC 00659,0.999825,-0.0119764,0,0.990446,0.999825,0
LOPAC 00660,1.00629,0.482347,0,0.652396,1.00629,0
LOPAC 00661,0.998211,-0.118994,0,0.868814,0.998211,0
LOPAC 00671,0.962529,-2.78596,0,0.0303172,0.962529,0
LOPAC 00672,0.995332,-0.340923,0,0.733222,0.995332,0
LOPAC 00170,0.986025,-1.03604,0,0.32079,0.986025,0
LOPAC 00178,1.00308,0.222047,0,0.824378,1.00308,0
LOPAC 00569,0.998568,-0.0998826,0,0.920596,0.998568,0
LOPAC 00602,0.995461,-0.31763,0,0.754936,0.995461,0
LOPAC 00673,1.01531,1.1305,0,0.273856,1.01531,0
LOPAC 00674,1.00188,0.13049,0,0.89661,1.00188,0
LOPAC 01303,0.991467,-0.626412,0,0.532602,0.991467,0
LOPAC 01318,0.99568,-0.315465,0,0.75245,0.99568,0
LOPAC 00084,1.01094,0.821075,0,0.444398,1.01094,0
LOPAC 00408,1.0016,0.107086,0,0.890878,1.0016,0
LOPAC 00675,0.995179,-0.390554,0,0.580252,0.995179,0
LOPAC 00676,1.00559,0.396681,0,0.694674,1.00559,0
LOPAC 00677,1.00412,0.305114,0,0.760998,1.00412,0
LOPAC 00679,0.997946,-0.145043,0,0.884918,0.997946,0
LOPAC 00680,0.99762,-0.158237,0,0.826194,0.99762,0
LOPAC 01304,0.990464,-0.696513,0,0.486546,0.990464,0
LOPAC 00083,0.994389,-0.397326,0,0.694898,0.994389,0
LOPAC 00165,0.994803,-0.369664,0,0.713734,0.994803,0
LOPAC 00353,0.992658,-0.552758,0,0.595126,0.992658,0
LOPAC 00439,1.00705,0.503453,0,0.618136,1.00705,0
LOPAC 00681,1.00669,0.476203,0,0.637706,1.00669,0
LOPAC 00682,1.00207,0.158652,0,0.874814,1.00207,0
LOPAC 00683,1.00207,0.152466,0,0.878862,1.00207,0
LOPAC 00684,1.0052,0.389445,0,0.70089,1.0052,0
LOPAC 00082,1.00282,0.210621,0,0.833802,1.00282,0
LOPAC 00166,0.814074,-13.601,0,1.01961e-35,0.814074,0
LOPAC 00484,0.996422,-0.269646,0,0.789466,0.996422,0
LOPAC 00566,0.996296,-0.264887,0,0.791556,0.996296,0
LOPAC 00685,0.983468,-1.24863,0,0.31487,0.983468,0
LOPAC 00686,0.997453,-0.177882,0,0.85966,0.997453,0
LOPAC 00687,1.00875,0.627416,0,0.534144,1.00875,0
LOPAC 00688,1.00992,0.719749,0,0.471848,1.00992,0
LOPAC 00011,0.998482,-0.116145,0,0.907878,0.998482,0
LOPAC 00053,1.00674,0.471395,0,0.650204,1.00674,0
LOPAC 00325,1.00902,0.655757,0,0.511984,1.00902,0
LOPAC 00689,0.983833,-1.1857,0,0.240884,0.983833,0
LOPAC 00690,1.00467,0.343703,0,0.731466,1.00467,0
LOPAC 00691,0.997783,-0.142968,0,0.78693,0.997783,0
LOPAC 00692,0.984246,-1.16052,0,0.257266,0.984246,0
LOPAC 00693,1.00964,0.692747,0,0.491882,1.00964,0
LOPAC 00130,0.999057,-0.0675836,0,0.946122,0.999057,0
LOPAC 00328,1.01967,1.44136,0,0.154813,1.01967,0
LOPAC 00567,0.996376,-0.243467,0,0.770982,0.996376,0
LOPAC 00694,0.990389,-0.706899,0,0.482682,0.990389,0
LOPAC 00695,0.969688,-2.19941,0,0.028304,0.969688,0
LOPAC 00696,0.994114,-0.417948,0,0.67944,0.994114,0
LOPAC 00697,1.00251,0.206935,0,0.724884,1.00251,0
LOPAC 00698,0.980839,-1.38736,0,0.167117,0.980839,0
LOPAC 00002,0.997109,-0.222444,0,0.826818,0.997109,0
LOPAC 00009,1.01249,0.936504,0,0.39112,1.01249,0
LOPAC 00015,1.0075,0.550165,0,0.583158,1.0075,0
LOPAC 00060,1.00771,0.554758,0,0.580696,1.00771,0
LOPAC 00101,0.993643,-0.476911,0,0.64142,0.993643,0
LOPAC 00334,1.0003,0.0376456,0,0.809628,1.0003,0
LOPAC 00412,0.991775,-0.610711,0,0.548422,0.991775,0
LOPAC 00699,1.00088,0.0590362,0,0.940026,1.00088,0
LOPAC 00016,0.992138,-0.570095,0,0.568734,0.992138,0
LOPAC 00019,0.998927,-0.0710193,0,0.91632,0.998927,0
LOPAC 00126,1.00078,0.0731588,0,0.803652,1.00078,0
LOPAC 00152,1.01233,0.930671,0,0.411054,1.01233,0
LOPAC 00168,1.00008,-0.02997,0,0.591802,1.00008,0
LOPAC 00169,1.00789,0.571385,0,0.568014,1.00789,0
LOPAC 00486,0.994553,-0.394068,0,0.693672,0.994553,0
LOPAC 00020,0.984979,-1.10779,0,0.280484,0.984979,0
LOPAC 00330,1.00206,0.148218,0,0.882198,1.00206,0
LOPAC 00333,0.994852,-0.388286,0,0.703926,0.994852,0
LOPAC 00406,1.00927,0.698407,0,0.51272,1.00927,0
LOPAC 00487,0.994934,-0.359673,0,0.721398,0.994934,0
LOPAC 00701,1.01116,0.811283,0,0.417212,1.01116,0
LOPAC 01325,0.995804,-0.316168,0,0.755104,0.995804,0
LOPAC 00021,1.00101,0.0807376,0,0.911254,1.00101,0
LOPAC 00022,1.0041,0.300174,0,0.76418,1.0041,0
LOPAC 00054,0.996855,-0.232567,0,0.816392,0.996855,0
LOPAC 00244,0.995014,-0.376955,0,0.712538,0.995014,0
LOPAC 00489,0.9855,-1.07249,0,0.30064,0.9855,0
LOPAC 00572,1.01139,0.837294,0,0.406348,1.01139,0
LOPAC 01326,1.00414,0.328534,0,0.69951,1.00414,0
LOPAC 01327,0.997039,-0.239944,0,0.720704,0.997039,0
LOPAC 00085,1.00081,0.0470159,0,0.860836,1.00081,0
LOPAC 00245,0.709089,-21.2886,0,0,0.709089,0
LOPAC 00329,1.01209,0.867514,0,0.393246,1.01209,0
LOPAC 00337,0.983892,-1.19001,0,0.251776,0.983892,0
LOPAC 00338,1.00019,0.0280418,0,0.832428,1.00019,0
LOPAC 00339,0.997933,-0.148469,0,0.882018,0.997933,0
LOPAC 00702,1.00172,0.104468,0,0.762946,1.00172,0
LOPAC 00703,1.00685,0.498241,0,0.618314,1.00685,0
LOPAC 00177,0.986877,-0.982458,0,0.367132,0.986877,0
LOPAC 00416,0.998688,-0.101229,0,0.919668,0.998688,0
LOPAC 00576,1.00847,0.606061,0,0.549204,1.00847,0
LOPAC 00704,0.995636,-0.286963,0,0.6626,0.995636,0
LOPAC 00705,0.999725,-0.0236873,0,0.956076,0.999725,0
LOPAC 00706,0.994321,-0.387052,0,0.719066,0.994321,0
LOPAC 00708,0.994733,-0.390417,0,0.697958,0.994733,0
LOPAC 00247,0.990249,-0.691995,0,0.503018,0.990249,0
LOPAC 00709,0.961883,-2.73336,0,0.0160697,0.961883,0
LOPAC 00710,1.00171,0.139155,0,0.823318,1.00171,0
LOPAC 00711,1.00215,0.168789,0,0.855672,1.00215,0
LOPAC 00712,1.00492,0.351177,0,0.726652,1.00492,0
LOPAC 00713,1.01151,0.868299,0,0.435416,1.01151,0
LOPAC 00714,1.00084,0.0628748,0,0.949882,1.00084,0
LOPAC 00715,0.996933,-0.265198,0,0.543114,0.996933,0
LOPAC 00175,1.00926,0.668987,0,0.50458,1.00926,0
LOPAC 00716,0.989776,-0.798527,0,0.54399,0.989776,0
LOPAC 00717,1.00339,0.253004,0,0.80122,1.00339,0
LOPAC 00718,1.00103,0.0875175,0,0.851408,1.00103,0
LOPAC 00719,0.992545,-0.527469,0,0.6066,0.992545,0
LOPAC 00720,0.994109,-0.412482,0,0.688466,0.994109,0
LOPAC 00721,1.00968,0.694569,0,0.491866,1.00968,0
LOPAC 00722,0.992894,-0.553875,0,0.633938,0.992894,0
LOPAC 00248,0.938267,-4.2401,1,0.304258,0.938267,0
LOPAC 00491,0.998967,-0.081222,0,0.927324,0.998967,0
LOPAC 00573,0.981323,-1.35702,0,0.174859,0.981323,0
LOPAC 00723,1.00942,0.680383,0,0.497192,1.00942,0
LOPAC 00724,0.217893,-56.4641,0,0,0.217893,0
LOPAC 00725,1.00434,0.326146,0,0.747434,1.00434,0
LOPAC 00727,1.00573,0.420595,0,0.674478,1.00573,0
LOPAC 00728,1.00159,0.145033,0,0.66202,1.00159,0
LOPAC 00093,1.00431,0.269286,0,0.52716,1.00431,0
LOPAC 00098,1.00592,0.431844,0,0.665942,1.00592,0
LOPAC 00174,0.999143,-0.077612,0,0.82006,0.999143,0
LOPAC 00415,1.00077,0.0597541,0,0.952426,1.00077,0
LOPAC 00634,1.00054,0.0321238,0,0.914238,1.00054,0
LOPAC 00729,0.998166,-0.112875,0,0.760868,0.998166,0
LOPAC 00731,1.00962,0.702481,0,0.48281,1.00962,0
LOPAC 00739,0.986201,-0.997139,0,0.320942,0.986201,0
LOPAC 00092,1.00618,0.457476,0,0.649578,1.00618,0
LOPAC 00094,0.999146,-0.0485706,0,0.840062,0.999146,0
LOPAC 00097,0.955664,-3.05773,1,0.285206,0.955664,0
LOPAC 00505,0.985902,-1.01172,0,0.321634,0.985902,0
LOPAC 00732,0.987914,-0.867001,0,0.3935,0.987914,0
LOPAC 00733,1.00045,0.0289042,0,0.955572,1.00045,0
LOPAC 00734,1.0006,0.0555856,0,0.859862,1.0006,0
LOPAC 00735,0.0503236,-69.3749,0,0,0.0503236,0
LOPAC 00024,1.00528,0.380888,0,0.703532,1.00528,0
LOPAC 00176,1.00227,0.15715,0,0.876018,1.00227,0
LOPAC 00246,0.986434,-1.00297,0,0.330172,0.986434,0
LOPAC 00249,0.886888,-8.14194,0,2.9766e-12,0.886888,0
LOPAC 00492,1.00483,0.355108,0,0.723014,1.00483,0
LOPAC 00575,1.00628,0.44413,0,0.66235,1.00628,0
LOPAC 00736,1.03427,2.452,0,0.0333632,1.03427,0
LOPAC 00737,0.99502,-0.330649,0,0.65568,0.99502,0
LOPAC 00099,0.986223,-1.01145,0,0.316672,0.986223,0
LOPAC 00100,1.00408,0.276662,0,0.772906,1.00408,0
LOPAC 00102,0.185277,-59.1728,0,0,0.185277,0
LOPAC 00250,0.992197,-0.551977,0,0.59102,0.992197,0
LOPAC 00475,1.00881,0.614564,0,0.56962,1.00881,0
LOPAC 00539,1.00627,0.449953,0,0.65396,1.00627,0
LOPAC 00738,1.00735,0.545125,0,0.59013,1.00735,0
LOPAC 00741,1.00166,0.118593,0,0.90565,1.00166,0
LOPAC 00008,1.00773,0.55157,0,0.586054,1.00773,0
LOPAC 00742,0.987696,-0.889427,0,0.375318,0.987696,0
LOPAC 00743,1.0018,0.117613,0,0.845692,1.0018,0
LOPAC 00744,0.997346,-0.188456,0,0.85086,0.997346,0
LOPAC 00745,1.0071,0.520092,0,0.603548,1.0071,0
LOPAC 00746,0.077171,-67.3555,0,0,0.077171,0
LOPAC 00747,1.00402,0.270382,0,0.751464,1.00402,0
LOPAC 01343,0.981696,-1.31932,0,0.194017,0.981696,0
LOPAC 00030,0.997304,-0.205195,0,0.838894,0.997304,0
LOPAC 00748,0.975126,-1.80789,0,0.0706644,0.975126,0
LOPAC 00749,0.998012,-0.131765,0,0.849876,0.998012,0
LOPAC 00750,0.999912,0.000825758,0,0.914238,0.999912,0
LOPAC 00751,0.995239,-0.345558,0,0.729688,0.995239,0
LOPAC 00752,0.995866,-0.263927,0,0.59613,0.995866,0
LOPAC 00753,1.00274,0.193274,0,0.847298,1.00274,0
LOPAC 00754,0.999632,-0.0484581,0,0.746152,0.999632,0
LOPAC 00420,1.00028,0.0270753,0,0.916996,1.00028,0
LOPAC 00755,0.943767,-4.04959,0,0.000280918,0.943767,0
LOPAC 00756,1.02166,1.53262,0,0.199091,1.02166,0
LOPAC 00757,0.994384,-0.403278,0,0.687628,0.994384,0
LOPAC 00758,0.996538,-0.238187,0,0.815516,0.996538,0
LOPAC 00759,1.00682,0.500803,0,0.617342,1.00682,0
LOPAC 00760,1.0005,0.032418,0,0.950458,1.0005,0
LOPAC 00761,0.992542,-0.565063,0,0.59353,0.992542,0
LOPAC 00105,0.99894,-0.0727325,0,0.942142,0.99894,0
LOPAC 00762,0.527693,-32.2901,1,0.0631968,0.527693,0
LOPAC 00763,1.01405,1.0155,0,0.312252,1.01405,0
LOPAC 00764,1.00308,0.23288,0,0.817526,1.00308,0
LOPAC 00765,0.999901,0.0357925,0,0.520752,0.999901,0
LOPAC 00766,0.997925,-0.186478,0,0.601754,0.997925,0
LOPAC 00767,0.999098,-0.0768556,0,0.86728,0.999098,0
LOPAC 00768,0.993131,-0.514105,0,0.61553,0.993131,0
LOPAC 00070,0.989439,-0.780244,0,0.4428,0.989439,0
LOPAC 00345,1.00364,0.293166,0,0.685326,1.00364,0
LOPAC 00418,0.0506374,-69.3544,0,0,0.0506374,0
LOPAC 00419,0.999194,-0.041182,0,0.79505,0.999194,0
LOPAC 00423,0.983013,-1.23346,0,0.217596,0.983013,0
LOPAC 00496,1.00887,0.653173,0,0.516632,1.00887,0
LOPAC 00579,1.00433,0.318678,0,0.75034,1.00433,0
LOPAC 00769,1.00843,0.635857,0,0.54829,1.00843,0
LOPAC 00031,1.00304,0.214946,0,0.830554,1.00304,0
LOPAC 00104,1.00488,0.332466,0,0.753048,1.00488,0
LOPAC 00183,0.987305,-0.905807,0,0.381116,0.987305,0
LOPAC 00348,0.994463,-0.387551,0,0.7056,0.994463,0
LOPAC 00770,0.998499,-0.108137,0,0.913898,0.998499,0
LOPAC 00771,1.00116,0.0772804,0,0.920226,1.00116,0
LOPAC 00772,1.00273,0.174235,0,0.71836,1.00273,0
LOPAC 00773,0.998699,-0.0972696,0,0.922572,0.998699,0
LOPAC 00014,1.00561,0.398173,0,0.693704,1.00561,0
LOPAC 00173,1.00429,0.322676,0,0.750008,1.00429,0
LOPAC 00580,1.00174,0.143515,0,0.799514,1.00174,0
LOPAC 00774,0.992266,-0.537231,0,0.616638,0.992266,0
LOPAC 00775,1.00151,0.114954,0,0.908726,1.00151,0
LOPAC 00776,1.0018,0.123854,0,0.902012,1.0018,0
LOPAC 00777,0.995742,-0.292353,0,0.777388,0.995742,0
LOPAC 00778,0.992061,-0.580083,0,0.562174,0.992061,0
LOPAC 00545,0.98321,-1.21935,0,0.222872,0.98321,0
LOPAC 00779,0.997452,-0.187914,0,0.851054,0.997452,0
LOPAC 00780,1.00217,0.167173,0,0.86845,1.00217,0
LOPAC 00781,1.00527,0.388711,0,0.69846,1.00527,0
LOPAC 00782,1.00501,0.337287,0,0.706132,1.00501,0
LOPAC 00783,1.0101,0.725209,0,0.472668,1.0101,0
LOPAC 00784,1.00068,0.0267639,0,0.73819,1.00068,0
LOPAC 00785,0.546788,-32.5171,0,0,0.546788,0
LOPAC 00026,1.0006,0.0430438,0,0.965668,1.0006,0
LOPAC 00254,1.00247,0.203659,0,0.72592,1.00247,0
LOPAC 00493,1.00236,0.148171,0,0.732266,1.00236,0
LOPAC 00494,0.990446,-0.682589,0,0.502022,0.990446,0
LOPAC 00497,0.998418,-0.101224,0,0.837038,0.998418,0
LOPAC 00503,1.00616,0.436086,0,0.66805,1.00616,0
LOPAC 00786,0.998084,-0.122199,0,0.79959,0.998084,0
LOPAC 00787,1.00065,0.0566228,0,0.89088,1.00065,0
LOPAC 00181,0.979942,-1.55227,0,0.439802,0.979942,0
LOPAC 00347,0.9512,-3.60375,0,0.00265642,0.9512,0
LOPAC 00500,0.999274,-0.024645,0,0.673994,0.999274,0
LOPAC 00788,0.989852,-0.689587,0,0.565418,0.989852,0
LOPAC 00789,0.996724,-0.266965,0,0.679274,0.996724,0
LOPAC 00790,1.0026,0.19665,0,0.845018,1.0026,0
LOPAC 00791,1.00306,0.260894,0,0.579372,1.00306,0
LOPAC 00792,1.00366,0.243105,0,0.73509,1.00366,0
LOPAC 00012,1.01135,0.872009,0,0.487054,1.01135,0
LOPAC 00086,1.00336,0.258345,0,0.800292,1.00336,0
LOPAC 00793,0.974693,-1.79466,0,0.140117,0.974693,0
LOPAC 00794,1.00156,0.116574,0,0.907282,1.00156,0
LOPAC 00795,0.993816,-0.483573,0,0.652396,0.993816,0
LOPAC 00796,0.997631,-0.18201,0,0.857078,0.997631,0
LOPAC 00797,1.01129,0.818847,0,0.413132,1.01129,0
LOPAC 00798,0.983784,-1.16319,0,0.25844,0.983784,0
LOPAC 00089,0.994154,-0.493321,0,0.365132,0.994154,0
LOPAC 00253,0.987099,-0.897613,0,0.45203,0.987099,0
LOPAC 00495,1.01017,0.748699,0,0.457856,1.01017,0
LOPAC 00799,0.999007,-0.0952992,0,0.731754,0.999007,0
LOPAC 00800,0.935899,-4.55382,0,0.00164553,0.935899,0
LOPAC 00801,0.99092,-0.692975,0,0.537396,0.99092,0
LOPAC 00802,1.00667,0.518604,0,0.646222,1.00667,0
LOPAC 00803,1.00074,0.0794716,0,0.70471,1.00074,0
LOPAC 00804,1.01142,0.878518,0,0.491892,1.01142,0
LOPAC 00805,0.981765,-1.37393,0,0.272924,0.981765,0
LOPAC 00806,1.02034,1.57275,0,0.4319,1.02034,0
LOPAC 00807,0.970871,-2.11086,0,0.0359516,0.970871,0
LOPAC 00808,0.979058,-1.43672,0,0.444634,0.979058,0
LOPAC 00809,0.995049,-0.38779,0,0.700758,0.995049,0
LOPAC 00810,1.01615,1.24562,0,0.436622,1.01615,0
LOPAC 00811,0.99918,-0.0449256,0,0.826704,0.99918,0
LOPAC 00025,0.998881,-0.0720086,0,0.888698,0.998881,0
LOPAC 00065,0.985259,-1.08641,0,0.288276,0.985259,0
LOPAC 00179,1.00586,0.418459,0,0.67756,1.00586,0
LOPAC 00180,1.00843,0.653185,0,0.58346,1.00843,0
LOPAC 00182,1.01051,0.760592,0,0.447584,1.01051,0
LOPAC 00812,0.990384,-0.713631,0,0.485386,0.990384,0
LOPAC 00813,1.01357,0.990161,0,0.3227,1.01357,0
LOPAC 00814,0.977419,-1.67005,0,0.123209,0.977419,0
LOPAC 00103,0.984835,-1.10938,0,0.269508,0.984835,0
LOPAC 00106,1.00624,0.456199,0,0.64847,1.00624,0
LOPAC 00251,1.00115,0.106152,0,0.742038,1.00115,0
LOPAC 00252,0.933553,-4.84554,0,1.87929e-06,0.933553,0
LOPAC 00340,0.993892,-0.481218,0,0.622098,0.993892,0
LOPAC 00498,1.00156,0.121451,0,0.904026,1.00156,0
LOPAC 00577,1.0116,0.84984,0,0.397384,1.0116,0
LOPAC 01328,1.00577,0.45191,0,0.663502,1.00577,0
LOPAC 00027,0.990998,-0.647276,0,0.519998,0.990998,0
LOPAC 00028,1.0029,0.18839,0,0.738626,1.0029,0
LOPAC 00029,1.00186,0.129765,0,0.897116,1.00186,0
LOPAC 00032,0.999097,-0.0619961,0,0.95064,0.999097,0
LOPAC 00033,0.980694,-1.39544,0,0.166367,0.980694,0
LOPAC 00346,1.00965,0.70773,0,0.481014,1.00965,0
LOPAC 00350,0.683187,-23.1164,0,0,0.683187,0
LOPAC 00502,1.00652,0.462105,0,0.649176,1.00652,0
LOPAC 00034,0.987709,-0.904283,0,0.371628,0.987709,0
LOPAC 00108,1.0056,0.391233,0,0.703562,1.0056,0
LOPAC 00255,1.00152,0.103913,0,0.917614,1.00152,0
LOPAC 00343,0.990751,-0.679571,0,0.499064,0.990751,0
LOPAC 00352,1.00581,0.425505,0,0.670788,1.00581,0
LOPAC 00355,0.997837,-0.138873,0,0.785268,0.997837,0
LOPAC 00816,1.00726,0.531977,0,0.595376,1.00726,0
LOPAC 01305,1.00346,0.240335,0,0.812578,1.00346,0
LOPAC 00041,0.992056,-0.599773,0,0.569764,0.992056,0
LOPAC 00096,0.999109,-0.0674649,0,0.946254,0.999109,0
LOPAC 00112,0.811527,-13.6893,0,2.23759e-41,0.811527,0
LOPAC 00188,1.00326,0.226243,0,0.82319,1.00326,0
LOPAC 00357,1.00423,0.319332,0,0.753348,1.00423,0
LOPAC 00365,1.0094,0.679608,0,0.497406,1.0094,0
LOPAC 00817,0.995749,-0.282752,0,0.70465,0.995749,0
LOPAC 00818,1.00325,0.230994,0,0.817912,1.00325,0
LOPAC 00040,0.989147,-0.792812,0,0.42852,0.989147,0
LOPAC 00820,1.00924,0.665533,0,0.507802,1.00924,0
LOPAC 00821,1.00971,0.698486,0,0.487902,1.00971,0
LOPAC 00822,0.971399,-2.09022,0,0.0387492,0.971399,0
LOPAC 00823,1.00329,0.254959,0,0.804166,1.00329,0
LOPAC 00824,0.991087,-0.648621,0,0.516592,0.991087,0
LOPAC 00825,1.0036,0.272094,0,0.787978,1.0036,0
LOPAC 00826,0.0513711,-69.3027,0,0,0.0513711,0
LOPAC 00111,1.0098,0.713134,0,0.475766,1.0098,0
LOPAC 00205,0.987615,-0.900501,0,0.367856,0.987615,0
LOPAC 00279,0.99206,-0.54866,0,0.616716,0.99206,0
LOPAC 00429,0.629986,-26.9152,0,0,0.629986,0
LOPAC 00827,1.00242,0.166865,0,0.868684,1.00242,0
LOPAC 00828,1.01017,0.730327,0,0.469322,1.01017,0
LOPAC 00829,1.00564,0.40954,0,0.682166,1.00564,0
LOPAC 00830,0.993682,-0.480899,0,0.647642,0.993682,0
LOPAC 00422,1.00728,0.505805,0,0.635082,1.00728,0
LOPAC 00508,0.993722,-0.442763,0,0.66472,0.993722,0
LOPAC 00831,0.994547,-0.392767,0,0.694966,0.994547,0
LOPAC 00832,0.0482049,-69.5237,0,0,0.0482049,0
LOPAC 00833,1.01378,0.995779,0,0.321644,1.01378,0
LOPAC 00835,1.00485,0.343335,0,0.734006,1.00485,0
LOPAC 00836,0.99539,-0.353589,0,0.733396,0.99539,0
LOPAC 00004,1.00661,0.424484,0,0.439236,1.00661,0
LOPAC 00037,0.986072,-1.01041,0,0.312642,0.986072,0
LOPAC 00127,0.993332,-0.447749,0,0.614722,0.993332,0
LOPAC 00421,1.00862,0.643387,0,0.532118,1.00862,0
LOPAC 00507,0.992363,-0.496609,0,0.436018,0.992363,0
LOPAC 00837,1.01,0.699067,0,0.522274,1.01,0
LOPAC 00839,0.928412,-4.89567,1,0.399328,0.928412,0
LOPAC 00187,1.00291,0.159801,0,0.44637,1.00291,0
LOPAC 00264,0.955789,-3.27243,0,0.0077701,0.955789,0
LOPAC 00425,1.01396,0.999741,0,0.330206,1.01396,0
LOPAC 00840,0.998869,-0.151059,0,0.309534,0.998869,0
LOPAC 00841,0.991718,-0.581484,0,0.579446,0.991718,0
LOPAC 00842,0.988351,-0.782293,0,0.465658,0.988351,0
LOPAC 00843,1.01067,0.775302,0,0.438194,1.01067,0
LOPAC 00844,0.845113,-11.2242,0,1.17682e-26,0.845113,0
LOPAC 00036,1.01484,1.0758,0,0.282604,1.01484,0
LOPAC 00042,1.00054,0.0653816,0,0.700344,1.00054,0
LOPAC 00586,0.993414,-0.523762,0,0.55866,0.993414,0
LOPAC 00845,1.00098,0.0699303,0,0.944258,1.00098,0
LOPAC 00846,0.586547,-28.1469,1,0.285462,0.586547,0
LOPAC 00847,0.986509,-1.00733,0,0.34976,0.986509,0
LOPAC 00848,0.991538,-0.583891,0,0.600784,0.991538,0
LOPAC 00849,0.974889,-1.79421,0,0.10568,0.974889,0
LOPAC 00426,1.01287,0.940131,0,0.34805,1.01287,0
LOPAC 00481,0.977966,-1.56237,0,0.182992,0.977966,0
LOPAC 00850,0.993122,-0.51642,0,0.615956,0.993122,0
LOPAC 00851,1.01133,0.820395,0,0.412624,1.01133,0
LOPAC 00852,0.99768,-0.179651,0,0.859294,0.99768,0
LOPAC 00853,1.00165,0.132902,0,0.845504,1.00165,0
LOPAC 00854,1.01033,0.751433,0,0.452392,1.01033,0
LOPAC 00855,1.03537,2.52923,0,0.0301546,1.03537,0
LOPAC 00038,1.0032,0.235294,0,0.81413,1.0032,0
LOPAC 00856,0.990488,-0.688893,0,0.491288,0.990488,0
LOPAC 00857,0.99934,-0.0462577,0,0.963118,0.99934,0
LOPAC 00858,1.01167,0.838444,0,0.407448,1.01167,0
LOPAC 00859,1.00359,0.268129,0,0.78981,1.00359,0
